vertex,x,y,z,codeword,integer_code
0,-0.525731112119,0.850650808352,0,0000,0
1,0.525731112119,0.850650808352,0,0001,1
2,-0.525731112119,-0.850650808352,0,0111,7
3,0.525731112119,-0.850650808352,0,0101,5
4,0,-0.525731112119,0.850650808352,0100,4
5,0,0.525731112119,0.850650808352,1000,8
6,0,-0.525731112119,-0.850650808352,1111,15
7,0,0.525731112119,-0.850650808352,0011,3
8,0.850650808352,0,-0.525731112119,1001,9
9,0.850650808352,0,0.525731112119,1101,13
10,-0.850650808352,0,-0.525731112119,0110,6
11,-0.850650808352,0,0.525731112119,0010,2
