execution_order,graph_id,code_length,target_order_within_instance,target_r,run_count,success,best_run_order,best_initialisation_class,best_initialisation_id,best_restart_index,best_seed,best_violation_count,best_total_excess,best_maximum_excess,best_maximum_distance_edge_count,best_total_local_hamming,first_success_proposal,negative_result_interpretation
1,icosphere_l2,8,1,2,6,False,3,stage3_baseline,canonical_index_binary,0,3640590775910135664,14,17,2,3,830,,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
1,icosphere_l2,8,2,3,6,True,2,stage4_witness,m8_r4,1,15148160348637711450,0,0,0,72,836,83075,
2,icosphere_l2,9,1,2,6,False,3,stage3_baseline,canonical_index_binary,0,9214890470417083307,26,39,3,1,896,,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
3,icosphere_l2,10,1,2,6,False,6,deterministic_random,deterministic_random_seed_482602080597249361,1,12672631739299656822,55,74,2,19,929,,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
4,icosphere_l2,12,1,2,6,False,1,stage4_witness,m10_r3,0,2152002314695258017,127,246,7,1,1118,,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
5,icosphere_l3,10,1,2,4,False,2,stage3_baseline,canonical_index_binary,1,4694205784144876781,402,686,5,3,4145,,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
5,icosphere_l3,10,2,3,4,False,3,deterministic_random,deterministic_random_seed_756781631483076504,0,7159002986833030306,29,30,2,1,4174,,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
5,icosphere_l3,10,3,4,4,True,1,stage3_baseline,canonical_index_binary,0,4927721067379553732,0,0,0,251,4492,224920,
6,icosphere_l3,11,1,2,4,False,3,deterministic_random,deterministic_random_seed_3077993323151633052,0,10889337680355533592,597,1254,7,1,4857,,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
6,icosphere_l3,11,2,3,4,False,2,stage3_baseline,canonical_index_binary,1,1357378260022488770,110,129,3,5,4572,,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
