execution_order,graph_id,code_length,target_r,run_count,successful_run_count,success_rate,minimum_proposals_executed,median_proposals_executed,maximum_proposals_executed,earliest_success_proposal,selected_run_key,stopping_interpretation
1,icosphere_l2,8,2,6,0,0.0,150000,150000.0,150000,,run_03_stage3_baseline_restart_00,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
1,icosphere_l2,8,3,6,6,1.0,83075,93554.0,104959,83075,run_02_stage4_witness_restart_01,
2,icosphere_l2,9,2,6,0,0.0,150000,150000.0,150000,,run_03_stage3_baseline_restart_00,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
3,icosphere_l2,10,2,6,0,0.0,150000,150000.0,150000,,run_06_deterministic_random_restart_01,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
4,icosphere_l2,12,2,6,0,0.0,150000,150000.0,150000,,run_01_stage4_witness_restart_00,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
5,icosphere_l3,10,2,4,0,0.0,300000,300000.0,300000,,run_02_stage3_baseline_restart_01,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
5,icosphere_l3,10,3,4,0,0.0,300000,300000.0,300000,,run_03_deterministic_random_restart_00,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
5,icosphere_l3,10,4,4,4,1.0,224920,233131.5,244304,224920,run_01_stage3_baseline_restart_00,
6,icosphere_l3,11,2,4,0,0.0,300000,300000.0,300000,,run_03_deterministic_random_restart_00,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
6,icosphere_l3,11,3,4,0,0.0,300000,300000.0,300000,,run_02_stage3_baseline_restart_01,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
6,icosphere_l3,11,4,4,3,0.75,235594,274528.0,300000,235594,run_03_deterministic_random_restart_00,
7,icosphere_l3,12,2,4,0,0.0,300000,300000.0,300000,,run_02_stage3_baseline_restart_01,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
7,icosphere_l3,12,3,4,0,0.0,300000,300000.0,300000,,run_04_deterministic_random_restart_01,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
7,icosphere_l3,12,4,4,0,0.0,300000,300000.0,300000,,run_04_deterministic_random_restart_01,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
7,icosphere_l3,12,5,4,4,1.0,194554,217591.5,231074,194554,run_01_stage3_baseline_restart_00,
8,icosphere_l3,14,2,4,0,0.0,300000,300000.0,300000,,run_02_stage3_baseline_restart_01,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
8,icosphere_l3,14,3,4,0,0.0,300000,300000.0,300000,,run_01_stage3_baseline_restart_00,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
8,icosphere_l3,14,4,4,0,0.0,300000,300000.0,300000,,run_02_stage3_baseline_restart_01,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
8,icosphere_l3,14,5,4,0,0.0,300000,300000.0,300000,,run_02_stage3_baseline_restart_01,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
8,icosphere_l3,14,6,4,4,1.0,222234,238579.0,241429,222234,run_03_deterministic_random_restart_00,
9,primitive_q2_knn4,7,2,6,0,0.0,150000,150000.0,150000,,run_02_stage4_witness_restart_01,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
10,primitive_q2_knn4,8,2,6,0,0.0,150000,150000.0,150000,,run_05_deterministic_random_restart_00,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
12,primitive_q2_knn6,7,2,6,0,0.0,150000,150000.0,150000,,run_01_stage4_witness_restart_00,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
13,primitive_q2_knn6,8,2,6,0,0.0,150000,150000.0,150000,,run_04_stage3_baseline_restart_01,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
14,primitive_q2_knn6,9,2,6,0,0.0,150000,150000.0,150000,,run_03_stage3_baseline_restart_00,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
15,primitive_q2_knn6,11,2,6,0,0.0,150000,150000.0,150000,,run_03_stage3_baseline_restart_00,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
16,primitive_q2_knn8,7,2,6,0,0.0,150000,150000.0,150000,,run_01_stage4_witness_restart_00,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
16,primitive_q2_knn8,7,3,6,6,1.0,84397,86992.5,104285,84397,run_02_stage4_witness_restart_01,
17,primitive_q2_knn8,8,2,6,0,0.0,150000,150000.0,150000,,run_05_deterministic_random_restart_00,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
17,primitive_q2_knn8,8,3,6,6,1.0,85490,104046.0,126451,85490,run_03_stage3_baseline_restart_00,
18,primitive_q2_knn8,9,2,6,0,0.0,150000,150000.0,150000,,run_04_stage3_baseline_restart_01,No feasible witness was found within the frozen heuristic budget; this is not evidence of infeasibility or optimality.
